Bahrain,Maldives,Oman,Luxembourg,Qatar,Equatorial Guinea,Kuwait,"Macao SAR, China",Channel Islands,Austria
-0.0242283879314328,-0.006121911385069279,-0.017276438565848283,0.026584567420109118,0.29136895240126554,0.011433191340063077,0.4061088253079906,0.10819432067793147,0.02632405322231892,0.0022435210545390487
-0.040971524458974916,-0.027019483056997712,-0.007574449261794175,0.01766593531246735,0.2440383768626451,0.017139038349497926,0.25400059601776964,0.1503996992185052,0.0330285850486065,0.006832182955722639
0.08345006654884249,0.01957780047667688,0.03280610010561838,0.04409694171956145,0.2633563218390805,-0.24179536512827246,0.11249465909784533,-0.04410552846639627,0.034381218955781716,0.010869408171919068
0.16149748495093594,0.0,0.07814347251596435,0.03278189496288999,0.1557004793821784,-0.12387882191645055,0.12231456254123026,-0.042395152908170586,0.013570996123695778,0.0007269671517078179
0.0083793237465993,0.0,0.06317285876951673,0.006981738595171329,0.3682807528875358,0.2283631381091241,0.07650342089815572,0.10012024303426527,0.041391301671808524,0.0023767714882481712
0.028730140699510662,-0.012830742557676774,0.006895027542452664,0.03460822656776804,0.1362484247230829,0.052221911791968785,0.061770820600657375,0.10859238107599456,0.0444933534168848,0.014654134232550797
0.010476288793812108,-0.013002349057202718,0.05279146865664116,0.051099636641805314,-0.020452366293563718,0.0447205913259671,,0.06029350475144282,0.008239088489218765,0.029058724153644782
0.06585637662182674,-0.004169161846862895,-0.08595220294413365,0.04753844319942782,0.055118330870636494,0.06524437982328599,0.1414992843176694,0.06942534234288106,0.015759460147345104,0.008167879658249751
0.21152260911438,0.05911906073028629,0.00642437355933423,0.03243794475261949,0.3337910458940063,0.07594807893265935,0.01240057894325542,0.1031235169477364,0.010113906788951577,0.02203884529452458
0.2625687915754031,0.05368634927454508,0.10048329832098807,0.08808253453696199,0.7506372934438796,0.09736189084164652,0.1914921572080723,0.08400411487559241,0.03860679272614398,0.018535741180716696
0.03230910893785343,0.14690977930051832,0.25322317224928664,0.09173060913915916,0.27542423433818713,0.08727675086380701,0.17319362778838007,0.07508346054084912,0.022029421928222343,0.031693035022220074
0.1599653029234161,0.11452613003170815,0.09365754130736928,0.08167207748651767,0.0734019298835405,0.06338980713961401,0.04871675962544307,0.04015515953644884,0.04004387395132363,0.036941808677536485
